test_id	gene_id	gene	locus	sample_1	value_1
XLOC_000063	XLOC_000063	RP1-140A9.1	1:1822909-1824097	Benign	1.43436
XLOC_000064	XLOC_000064	CALML6	1:1846265-1848735	Benign	0
XLOC_000065	XLOC_000065	GABRD	1:1950779-1962192	Benign	0
XLOC_000066	XLOC_000066	PRKCZ	1:1981908-2152175	Benign	10.4753
XLOC_000067	XLOC_000067	SKI	1:2160133-2241558	Benign	0.940292
XLOC_000068	XLOC_000068	AL513477.1	1:2252691-2356219	Benign	0
XLOC_000069	XLOC_000069	RER1	1:2252691-2356219	Benign	6.62792
XLOC_000070	XLOC_000070	RP4-740C4.4	1:2357418-2362089	Benign	0
XLOC_000071	XLOC_000071	PLCH2	1:2398897-2436969	Benign	0.757193
XLOC_000072	XLOC_000072	TNFRSF14	1:2481358-2497061	Benign	49.2389
XLOC_000073	XLOC_000073	RP3-395M20.7	1:2497848-2508811	Benign	0.460348
XLOC_000074	XLOC_000074	RP3-395M20.9	1:2512998-2515972	Benign	0
XLOC_000075	XLOC_000075	C1orf93	1:2517929-2706280	Benign	3.02172
XLOC_000076	XLOC_000076	RP13-436F16.1	1:2517929-2706280	Benign	0
XLOC_000077	XLOC_000077	ACTRT2	1:2938045-2939465	Benign	0
XLOC_000078	XLOC_000078	PRDM16	1:2985731-3355185	Benign	0
XLOC_000079	XLOC_000079	ARHGEF16	1:3370989-3397677	Benign	2.29241
XLOC_000080	XLOC_000080	TPRG1L	1:3541565-3546691	Benign	3.05304
XLOC_000081	XLOC_000081	TP73	1:3547330-3663900	Benign	0
XLOC_000082	XLOC_000082	CCDC27	1:3668961-3688208	Benign	0
XLOC_000083	XLOC_000083	RP1-286D6.2	1:3689351-3692546	Benign	0
XLOC_000084	XLOC_000084	DFFB	1:3773844-3801993	Benign	0
XLOC_000085	XLOC_000085	RP13-15E13.1	1:3816935-3833789	Benign	0
XLOC_000086	XLOC_000086	RP13-614K11.1	1:4000672-4015322	Benign	0
XLOC_000087	XLOC_000087	RP5-1166F10.1	1:4472110-4484747	Benign	0.73917
XLOC_000088	XLOC_000088	RP1-37J18.1	1:4611794-4612205	Benign	0
XLOC_000089	XLOC_000089	RP1-37J18.2	1:4631607-4643481	Benign	0
XLOC_000090	XLOC_000090	AJAP1	1:4714791-4843850	Benign	0
XLOC_000091	XLOC_000091	AL356693.1	1:5875930-5876019	Benign	0
XLOC_000092	XLOC_000092	KCNAB2	1:5922870-6161253	Benign	0.542691
XLOC_000093	XLOC_000093	RNF207	1:6241328-6296032	Benign	10.8677
XLOC_000094	XLOC_000094	NCRNA00337	1:6296299-6299504	Benign	0
XLOC_000095	XLOC_000095	HES3	1:6304251-6305638	Benign	0
XLOC_000096	XLOC_000096	ESPN	1:6484847-6580121	Benign	9.69956
XLOC_000097	XLOC_000097	U6	1:6581406-6614595	Benign	0
XLOC_000098	XLOC_000098	RP11-58A11.2	1:6581406-6614595	Benign	0
XLOC_000099	XLOC_000099	TAS1R1	1:6615240-6639817	Benign	0
XLOC_000100	XLOC_000100	ZBTB48	1:6640060-6649340	Benign	5.54574
XLOC_000101	XLOC_000101	PHF13	1:6650783-6684093	Benign	0.792463
XLOC_000102	XLOC_000102	THAP3	1:6684925-6761984	Benign	2.91038
XLOC_000103	XLOC_000103	RP11-242F24.1	1:6784696-6790072	Benign	0
XLOC_000104	XLOC_000104	snoU13	1:6812778-6812881	Benign	0
XLOC_000105	XLOC_000105	CAMTA1	1:6845383-7827916	Benign	0.624993
XLOC_000106	XLOC_000106	U1	1:6845383-7827916	Benign	0
XLOC_000107	XLOC_000107	CAMTA1-IT1	1:6845383-7827916	Benign	0
XLOC_000108	XLOC_000108	VAMP3	1:7831328-7841492	Benign	0
XLOC_000109	XLOC_000109	PER3	1:7844379-7913572	Benign	4.84253
XLOC_000110	XLOC_000110	PARK7	1:8014350-8045565	Benign	1.66196
XLOC_000111	XLOC_000111	RP11-431K24.1	1:8086797-8182762	Benign	0
XLOC_000112	XLOC_000112	RP11-431K24.2	1:8249883-8252830	Benign	0
XLOC_000113	XLOC_000113	RP11-431K24.3	1:8268731-8275270	Benign	0
XLOC_000114	XLOC_000114	SLC45A1	1:8377885-8404225	Benign	0.472071
XLOC_000115	XLOC_000115	Y_RNA	1:8377885-8404225	Benign	0
XLOC_000116	XLOC_000116	RP5-1115A15.1	1:8412456-8877702	Benign	0
XLOC_000117	XLOC_000117	RP4-633I8.1	1:8412456-8877702	Benign	0
XLOC_000118	XLOC_000118	RP4-633I8.3	1:8412456-8877702	Benign	0
XLOC_000119	XLOC_000119	RP4-633I8.4	1:8412456-8877702	Benign	0
XLOC_000120	XLOC_000120	RP11-185B14.1	1:8891172-8891431	Benign	0
XLOC_000121	XLOC_000121	ENO1-AS1	1:8938893-8939953	Benign	0
XLOC_000122	XLOC_000122	HMGN2P17	1:8953467-8954210	Benign	0
XLOC_000123	XLOC_000123	RP3-477M7.6	1:8969818-8969965	Benign	0
XLOC_000124	XLOC_000124	CA6	1:9005925-9035151	Benign	0
XLOC_000125	XLOC_000125	SCARNA16	1:9095165-9148537	Benign	0
XLOC_000126	XLOC_000126	RP3-510D11.2	1:9228326-9262678	Benign	0
XLOC_000127	XLOC_000127	H6PD	1:9294862-9331396	Benign	3.30033
XLOC_000128	XLOC_000128	Z98044.1	1:9338449-9338592	Benign	0
XLOC_000129	XLOC_000129	SPSB1	1:9352938-9429591	Benign	0
XLOC_000130	XLOC_000130	SLC25A33	1:9599540-9642831	Benign	0
XLOC_000131	XLOC_000131	RP13-15M17.1	1:9599540-9642831	Benign	0.425384
XLOC_000132	XLOC_000132	TMEM201	1:9648931-9674935	Benign	0.694149
XLOC_000133	XLOC_000133	PIK3CD	1:9711789-9884584	Benign	5.4617
XLOC_000134	XLOC_000134	RP11-84A14.5	1:9908333-9970394	Benign	0
XLOC_000135	XLOC_000135	RP11-84A14.2	1:9908333-9970394	Benign	0
XLOC_000136	XLOC_000136	RP11-84A14.4	1:9982170-10045559	Benign	0
XLOC_000137	XLOC_000137	NMNAT1,RP11-807G9.2	1:9982170-10045559	Benign	0.497806
XLOC_000138	XLOC_000138	7SK	1:9982170-10045559	Benign	27.4332
XLOC_000139	XLOC_000139	RBP7	1:10057263-10076078	Benign	0
XLOC_000140	XLOC_000140	UBE4B	1:10092889-10241297	Benign	15.3291
XLOC_000141	XLOC_000141	PGAM1P11	1:10092889-10241297	Benign	0
XLOC_000142	XLOC_000142	U6	1:10092889-10241297	Benign	0
XLOC_000143	XLOC_000143	KIF1B	1:10270763-10441661	Benign	4.52392
XLOC_000144	XLOC_000144	U6	1:10270763-10441661	Benign	0
XLOC_000145	XLOC_000145	PGD	1:10458648-10480237	Benign	7.20793
XLOC_000146	XLOC_000146	APITD1,APITD1-CORT,CORT	1:10490158-10512210	Benign	0
XLOC_000147	XLOC_000147	RP5-1113E3.3	1:10516578-10690815	Benign	0
XLOC_000148	XLOC_000148	PEX14	1:10516578-10690815	Benign	1.82077
XLOC_000149	XLOC_000149	AL139423.1	1:10516578-10690815	Benign	0
XLOC_000150	XLOC_000150	RP11-340B24.3	1:10955820-10956697	Benign	0
XLOC_000151	XLOC_000151	TARDBP	1:11072413-11085796	Benign	23.7301
XLOC_000152	XLOC_000152	RP4-635E18.7	1:11126674-11162157	Benign	0
XLOC_000153	XLOC_000153	RP4-635E18.6	1:11126674-11162157	Benign	6.38612
XLOC_000154	XLOC_000154	MTOR-AS1	1:11166591-11322608	Benign	0
XLOC_000155	XLOC_000155	U6	1:11166591-11322608	Benign	0
XLOC_000156	XLOC_000156	ANGPTL7	1:11166591-11322608	Benign	0.74953
XLOC_000157	XLOC_000157	U6	1:11166591-11322608	Benign	0
XLOC_000158	XLOC_000158	RPL39P6	1:11166591-11322608	Benign	0
XLOC_000159	XLOC_000159	UBIAD1	1:11333262-11356106	Benign	2.12588
XLOC_000160	XLOC_000160	PTCHD2	1:11539222-11597641	Benign	0.261704
XLOC_000161	XLOC_000161	RP1-69M21.2	1:11669587-11673412	Benign	0
XLOC_000162	XLOC_000162	FBXO44	1:11708423-11723384	Benign	2.909
XLOC_000163	XLOC_000163	FBXO6	1:11724180-11734411	Benign	0
XLOC_000164	XLOC_000164	C1orf187	1:11751785-11785914	Benign	0
XLOC_000165	XLOC_000165	AGTRAP	1:11796140-11814859	Benign	1.89998
XLOC_000166	XLOC_000166	C1orf167	1:11821843-11866115	Benign	1.5469
XLOC_000167	XLOC_000167	CLCN6,NPPA-AS1	1:11866206-11908402	Benign	5.52275
XLOC_000168	XLOC_000168	RP5-934G17.6	1:11937826-11940463	Benign	0
XLOC_000169	XLOC_000169	RNU5E-1	1:11968208-11968328	Benign	791.869
XLOC_000170	XLOC_000170	PLOD1	1:11994261-12035599	Benign	13.0986
XLOC_000171	XLOC_000171	MFN2	1:12040237-12073571	Benign	9.95717
XLOC_000172	XLOC_000172	MIIP	1:12079522-12092102	Benign	1.80982
XLOC_000173	XLOC_000173	TNFRSF8	1:12123433-12204264	Benign	0
XLOC_000174	XLOC_000174	TNFRSF1B	1:12227059-12269285	Benign	6.45977
XLOC_000175	XLOC_000175	VPS13D	1:12290123-12572099	Benign	15.6197
XLOC_000176	XLOC_000176	SNORA59A	1:12290123-12572099	Benign	0
XLOC_000177	XLOC_000177	RP5-888M10.2	1:12587765-12588462	Benign	0
XLOC_000178	XLOC_000178	AADACL4	1:12704565-12727097	Benign	0
XLOC_000179	XLOC_000179	RP11-474O21.2	1:12752922-12753027	Benign	0
XLOC_000180	XLOC_000180	AADACL3	1:12776117-12788726	Benign	0
XLOC_000181	XLOC_000181	snoU13	1:12799692-12799796	Benign	0
XLOC_000182	XLOC_000182	C1orf158	1:12806162-12823847	Benign	0
XLOC_000183	XLOC_000183	PRAMEF12	1:12834983-12838049	Benign	0
XLOC_000184	XLOC_000184	PRAMEF1	1:12851545-12856777	Benign	0
XLOC_000185	XLOC_000185	PRAMEF2	1:12916940-12921764	Benign	0
XLOC_000186	XLOC_000186	PRAMEF7	1:12976449-12980569	Benign	0
XLOC_000187	XLOC_000187	U6	1:12982373-12982480	Benign	0
XLOC_000188	XLOC_000188	RP11-450I1.2	1:12985989-12988081	Benign	0
XLOC_000189	XLOC_000189	PRAMEF22	1:12998180-13117751	Benign	0
XLOC_000190	XLOC_000190	RP13-221M14.1	1:13140455-13145000	Benign	0
XLOC_000191	XLOC_000191	RP13-221M14.2	1:13146776-13147256	Benign	0.866256
XLOC_000192	XLOC_000192	WI2-2994D6.1	1:13196269-13199067	Benign	0
XLOC_000193	XLOC_000193	RP11-248D7.2	1:13351481-13354323	Benign	1.11684
XLOC_000194	XLOC_000194	PRAMEF5	1:13359818-13369057	Benign	0.137266
XLOC_000195	XLOC_000195	RP11-219C24.6	1:13411550-13414482	Benign	0
XLOC_000196	XLOC_000196	PRAMEF9	1:13421175-13428191	Benign	0.137615
XLOC_000197	XLOC_000197	RP11-219C24.10	1:13429633-13430107	Benign	0.879029
XLOC_000198	XLOC_000198	PRAMEF16	1:13495253-13498260	Benign	0
XLOC_000199	XLOC_000199	PRAMEF21	1:13516065-13526943	Benign	0
XLOC_000200	XLOC_000200	XX-FW84067D5.2	1:13632347-13635279	Benign	0
XLOC_000201	XLOC_000201	PRAMEF15	1:13641972-13648988	Benign	0.137635
XLOC_000202	XLOC_000202	RP11-584P2.1	1:13650430-13650910	Benign	0.867746
XLOC_000203	XLOC_000203	PRAMEF17	1:13716087-13719064	Benign	0
XLOC_000204	XLOC_000204	PRAMEF20	1:13736906-13747803	Benign	0
XLOC_000205	XLOC_000205	RP4-597A16.2	1:13801444-13842765	Benign	3.19821
XLOC_000206	XLOC_000206	RP4-597A16.3	1:13881495-13882189	Benign	0
XLOC_000207	XLOC_000207	PDPN	1:13909959-13944452	Benign	0
XLOC_000208	XLOC_000208	PRDM2	1:14026692-14151560	Benign	1.24754
XLOC_000209	XLOC_000209	C1orf196	1:14219051-14507087	Benign	0
XLOC_000210	XLOC_000210	KAZN	1:14925199-15478960	Benign	0
XLOC_000211	XLOC_000211	TMEM51	1:15479027-15546974	Benign	1.63469
XLOC_000212	XLOC_000212	FHAD1	1:15573767-15726858	Benign	0
XLOC_000213	XLOC_000213	EFHD2	1:15736390-15756839	Benign	8.2627
XLOC_000214	XLOC_000214	CTRC	1:15764934-15775737	Benign	0
XLOC_000215	XLOC_000215	CELA2A,CELA2B	1:15783222-15853029	Benign	0
XLOC_000216	XLOC_000216	DNAJC16	1:15853307-15930121	Benign	0.756031
XLOC_000217	XLOC_000217	SCARNA21	1:15853307-15930121	Benign	0
XLOC_000218	XLOC_000218	CHCHD2P6	1:15931076-15931538	Benign	11.4615
XLOC_000219	XLOC_000219	DDI2,RSC1A1	1:15943994-15995539	Benign	2.45596
XLOC_000220	XLOC_000220	PLEKHM2	1:16010826-16076391	Benign	12.11
XLOC_000221	XLOC_000221	SLC25A34	1:16010826-16076391	Benign	0
XLOC_000222	XLOC_000222	TMEM82	1:16010826-16076391	Benign	0
XLOC_000223	XLOC_000223	FBLIM1	1:16083101-16113089	Benign	7.38639
XLOC_000224	XLOC_000224	RP11-169K16.6	1:16119290-16119780	Benign	0.320989
XLOC_000225	XLOC_000225	RP11-169K16.8	1:16154723-16155167	Benign	10.8191
XLOC_000226	XLOC_000226	SPEN	1:16160559-16266955	Benign	3.17695
XLOC_000227	XLOC_000227	snoU13	1:16160559-16266955	Benign	0
XLOC_000228	XLOC_000228	RP11-5P18.1	1:16268363-16302627	Benign	0
XLOC_000229	XLOC_000229	RP11-5P18.3	1:16314676-16314936	Benign	0
XLOC_000230	XLOC_000230	RP11-5P18.2	1:16316365-16321246	Benign	0
XLOC_000231	XLOC_000231	C1orf64	1:16330730-16335302	Benign	0
XLOC_000232	XLOC_000232	CLCNKA	1:16340522-16360545	Benign	0
XLOC_000233	XLOC_000233	CLCNKB	1:16370246-16383803	Benign	0
XLOC_000234	XLOC_000234	RP11-276H7.2	1:16450831-16483824	Benign	6.81754
XLOC_000235	XLOC_000235	RP11-276H7.3	1:16485760-16488378	Benign	0
XLOC_000236	XLOC_000236	ARHGEF19-AS1	1:16524348-16539140	Benign	0
XLOC_000237	XLOC_000237	C1orf144	1:16679069-16763919	Benign	11.2889
XLOC_000238	XLOC_000238	NECAP2	1:16767166-16786573	Benign	8.92818
XLOC_000239	XLOC_000239	RP4-798A10.2	1:16787442-16819196	Benign	0.455897
XLOC_000240	XLOC_000240	RP4-798A10.4	1:16847188-16848303	Benign	0
XLOC_000241	XLOC_000241	AL355149.1	1:16862254-16864669	Benign	0.443178
XLOC_000242	XLOC_000242	AL355149.2	1:16879956-16880028	Benign	0
XLOC_000243	XLOC_000243	AL137798.2	1:16944750-16971178	Benign	0
XLOC_000244	XLOC_000244	RP5-1182A14.3	1:16972068-16976914	Benign	4.58195
XLOC_000245	XLOC_000245	AL137798.1	1:16999497-17000007	Benign	0
XLOC_000246	XLOC_000246	AL021920.2	1:17052060-17052133	Benign	0
XLOC_000247	XLOC_000247	RNU1-4	1:17067010-17067174	Benign	107.429
XLOC_000248	XLOC_000248	RP1-163M9.5	1:17076727-17077459	Benign	0
XLOC_000249	XLOC_000249	RP11-108M9.2	1:17181901-17185779	Benign	0
XLOC_000250	XLOC_000250	BX284668.2	1:17186692-17186765	Benign	0
XLOC_000251	XLOC_000251	RP11-108M9.3,U1	1:17196253-17200587	Benign	0
XLOC_000252	XLOC_000252	RP11-108M9.5	1:17215032-17216144	Benign	0
XLOC_000253	XLOC_000253	CROCC	1:17222231-17299459	Benign	5.28107
XLOC_000254	XLOC_000254	RNU1-2	1:17222231-17299459	Benign	122.591
XLOC_000255	XLOC_000255	RP1-37C10.3	1:17300996-17338423	Benign	0
XLOC_000256	XLOC_000256	Y_RNA	1:17484691-17484779	Benign	0
XLOC_000257	XLOC_000257	RP11-380J14.1	1:17516277-17524112	Benign	0
XLOC_000258	XLOC_000258	PADI1	1:17531620-17572500	Benign	0
XLOC_000259	XLOC_000259	PADI3	1:17575592-17610728	Benign	0
XLOC_000260	XLOC_000260	PADI4	1:17634689-17690499	Benign	0
XLOC_000261	XLOC_000261	PADI6	1:17698690-17728195	Benign	0
XLOC_000262	XLOC_000262	RP1-20B21.4	1:17733255-17766220	Benign	0
XLOC_000263	XLOC_000263	snoU13	1:17776258-17776359	Benign	0
XLOC_000264	XLOC_000264	ARHGEF10L	1:17866329-18024369	Benign	7.34704
XLOC_000265	XLOC_000265	RP11-473A10.2	1:18044181-18076473	Benign	0
XLOC_000266	XLOC_000266	ACTL8	1:18081807-18153558	Benign	0
XLOC_000267	XLOC_000267	IGSF21	1:18434239-18704977	Benign	0
XLOC_000268	XLOC_000268	RP11-422P22.1	1:18712322-18715008	Benign	0
XLOC_000269	XLOC_000269	KLHDC7A	1:18807423-18812534	Benign	0
XLOC_000270	XLOC_000270	RP1-8B22.1	1:18839611-18839881	Benign	0
XLOC_000271	XLOC_000271	RP1-8B22.2	1:18921905-18922112	Benign	0
XLOC_000272	XLOC_000272	PAX7	1:18957499-19075360	Benign	0
XLOC_000273	XLOC_000273	RP1-43E13.2	1:19536994-19586695	Benign	0
XLOC_000274	XLOC_000274	MRTO4	1:19536994-19586695	Benign	0
XLOC_000275	XLOC_000275	PQLC2	1:19638819-19655794	Benign	1.81643
XLOC_000276	XLOC_000276	AL445163.1	1:19665266-19812066	Benign	3.99514
XLOC_000277	XLOC_000277	U4	1:19837086-19837227	Benign	5.071
XLOC_000278	XLOC_000278	C1orf151	1:19923476-19956314	Benign	0
XLOC_000279	XLOC_000279	RP5-1056L3.3	1:19923476-19956314	Benign	2.77539
XLOC_000280	XLOC_000280	NBL1	1:19967047-19984945	Benign	23.2258
XLOC_000281	XLOC_000281	HTR6	1:19991779-20006055	Benign	0.748428
XLOC_000282	XLOC_000282	RP11-91K11.2	1:20140522-20145995	Benign	0
XLOC_000283	XLOC_000283	OTUD3	1:20209005-20239438	Benign	3.85298
XLOC_000284	XLOC_000284	AL358253.1	1:20297462-20297762	Benign	0
XLOC_000285	XLOC_000285	PLA2G5	1:20354671-20417683	Benign	0
XLOC_000286	XLOC_000286	PLA2G2F	1:20465818-20476879	Benign	0.501553
XLOC_000287	XLOC_000287	RP3-340N1.2	1:20480830-20487061	Benign	0
XLOC_000288	XLOC_000288	UBXN10	1:20510734-20522541	Benign	0
XLOC_000289	XLOC_000289	RP3-340N1.6	1:20569587-20571148	Benign	0
XLOC_000290	XLOC_000290	VWA5B1	1:20617411-20681387	Benign	0
XLOC_000291	XLOC_000291	RP11-401M16.3	1:20852481-20853244	Benign	2.10752
XLOC_000292	XLOC_000292	FAM43B	1:20878931-20881512	Benign	0
XLOC_000293	XLOC_000293	CDA	1:20915440-20945401	Benign	0
XLOC_000294	XLOC_000294	PINK1	1:20959947-20988000	Benign	0.421152
XLOC_000295	XLOC_000295	RP5-930J4.2	1:21059372-21060445	Benign	0
XLOC_000296	XLOC_000296	RP5-930J4.4	1:21069153-21113816	Benign	10.3054
XLOC_000297	XLOC_000297	U7	1:21132975-21503377	Benign	0
XLOC_000298	XLOC_000298	RP11-628K18.1	1:21132975-21503377	Benign	0
XLOC_000299	XLOC_000299	RP3-329E20.2	1:21543739-21671997	Benign	0
XLOC_000300	XLOC_000300	RP5-1071N3.1	1:21543739-21671997	Benign	0
XLOC_000301	XLOC_000301	PPP1R11P1	1:21724479-21724855	Benign	0
XLOC_000302	XLOC_000302	AL592309.1	1:21740713-21740785	Benign	0
XLOC_000303	XLOC_000303	RP11-293F5.1	1:21742390-21743985	Benign	0
XLOC_000304	XLOC_000304	HS6ST1P1	1:21754794-21756030	Benign	0
XLOC_000305	XLOC_000305	RP11-293F5.4	1:21760810-21764051	Benign	0
XLOC_000306	XLOC_000306	NBPF3	1:21766620-21811498	Benign	8.37358
XLOC_000307	XLOC_000307	ALPL	1:21835857-21904905	Benign	0
XLOC_000308	XLOC_000308	RP11-63N8.3	1:21912964-21917680	Benign	0
XLOC_000309	XLOC_000309	RP11-132G19.3	1:22004790-22110099	Benign	0
XLOC_000310	XLOC_000310	LDLRAD2	1:22138757-22263790	Benign	0.778766
XLOC_000311	XLOC_000311	RP11-26H16.1	1:22138757-22263790	Benign	0
XLOC_000312	XLOC_000312	CELA3B	1:22303513-22325135	Benign	1.47745
XLOC_000313	XLOC_000313	AL590556.1	1:22303513-22325135	Benign	0
XLOC_000314	XLOC_000314	U6	1:22303513-22325135	Benign	0
XLOC_000315	XLOC_000315	CELA3A	1:22328148-22339032	Benign	0
XLOC_000316	XLOC_000316	AL590556.2	1:22328148-22339032	Benign	0
XLOC_000317	XLOC_000317	U6	1:22328148-22339032	Benign	0
XLOC_000318	XLOC_000318	NCRNA00339	1:22351680-22357716	Benign	0
XLOC_000319	XLOC_000319	CDC42	1:22379119-22419437	Benign	5.8233
XLOC_000320	XLOC_000320	CDC42-IT1	1:22379119-22419437	Benign	0
XLOC_000321	XLOC_000321	ZBTB40	1:22778343-22857650	Benign	4.52227
XLOC_000322	XLOC_000322	ZBTB40-IT1	1:22778343-22857650	Benign	0
XLOC_000323	XLOC_000323	EPHA8	1:22890056-22930087	Benign	0
XLOC_000324	XLOC_000324	C1QA	1:22962998-22966175	Benign	1.69702
XLOC_000325	XLOC_000325	C1QC	1:22970122-22974603	Benign	3.73107
XLOC_000326	XLOC_000326	C1QB	1:22979254-22988031	Benign	14.5336
XLOC_000327	XLOC_000327	EPHB2	1:23037331-23241818	Benign	4.86945
XLOC_000328	XLOC_000328	AL611946.1	1:23037331-23241818	Benign	0
XLOC_000329	XLOC_000329	KDM1A	1:23345940-23504301	Benign	1.45532
XLOC_000330	XLOC_000330	RP5-979D14.1	1:23345940-23504301	Benign	1.98224
XLOC_000331	XLOC_000331	U6	1:23345940-23504301	Benign	0
XLOC_000332	XLOC_000332	U6	1:23345940-23504301	Benign	0
XLOC_000333	XLOC_000333	RP5-1057J7.1	1:23571257-23571717	Benign	0.579705
XLOC_000334	XLOC_000334	C1orf213	1:23685940-23698332	Benign	0
XLOC_000335	XLOC_000335	RP4-654C18.1	1:23707553-23810750	Benign	0
XLOC_000336	XLOC_000336	MDS2	1:23907984-23967058	Benign	0
XLOC_000337	XLOC_000337	RP11-223J15.2	1:23996783-24006749	Benign	0
XLOC_000338	XLOC_000338	RPL11	1:24018268-24022915	Benign	16.9795
XLOC_000339	XLOC_000339	TCEB3	1:24069644-24104777	Benign	6.51372
XLOC_000340	XLOC_000340	PITHD1	1:24104894-24114722	Benign	0
