test_id	gene_id	gene	locus	sample_1	value_1
XLOC_000303	XLOC_000303	RP11-293F5.1	1:21742390-21743985	Benign	0
XLOC_000304	XLOC_000304	HS6ST1P1	1:21754794-21756030	Benign	0.259414
XLOC_000305	XLOC_000305	RP11-293F5.4	1:21760810-21764051	Benign	0
XLOC_000306	XLOC_000306	NBPF3	1:21766620-21811498	Benign	1.27436
XLOC_000307	XLOC_000307	ALPL	1:21835857-21904905	Benign	0.204208
XLOC_000308	XLOC_000308	RP11-63N8.3	1:21912964-21917680	Benign	0
XLOC_000309	XLOC_000309	RP11-132G19.3	1:22004790-22110099	Benign	0
XLOC_000310	XLOC_000310	LDLRAD2	1:22138757-22263794	Benign	0
XLOC_000311	XLOC_000311	RP11-26H16.1	1:22138757-22263794	Benign	0.0364458
XLOC_000312	XLOC_000312	CELA3B	1:22303513-22325135	Benign	0.439624
XLOC_000313	XLOC_000313	AL590556.1	1:22303513-22325135	Benign	0
XLOC_000314	XLOC_000314	U6	1:22303513-22325135	Benign	3.73929
XLOC_000315	XLOC_000315	CELA3A	1:22328148-22339032	Benign	0
XLOC_000316	XLOC_000316	AL590556.2	1:22328148-22339032	Benign	0
XLOC_000317	XLOC_000317	U6	1:22328148-22339032	Benign	2.49286
XLOC_000318	XLOC_000318	NCRNA00339	1:22351680-22357716	Benign	0.402999
XLOC_000319	XLOC_000319	CDC42	1:22379119-22419437	Benign	17.2935
XLOC_000320	XLOC_000320	CDC42-IT1	1:22379119-22419437	Benign	0
XLOC_000321	XLOC_000321	ZBTB40	1:22778343-22857650	Benign	0.671059
XLOC_000322	XLOC_000322	ZBTB40-IT1	1:22778343-22857650	Benign	0
XLOC_000323	XLOC_000323	EPHA8	1:22890056-22930087	Benign	0
XLOC_000324	XLOC_000324	C1QA	1:22962998-22966175	Benign	8.30145
XLOC_000325	XLOC_000325	C1QC	1:22970122-22974603	Benign	13.5313
XLOC_000326	XLOC_000326	C1QB	1:22979254-22988031	Benign	11.9976
XLOC_000327	XLOC_000327	EPHB2	1:23037331-23241818	Benign	2.75744
XLOC_000328	XLOC_000328	AL611946.1	1:23037331-23241818	Benign	0
XLOC_000329	XLOC_000329	KDM1A	1:23345940-23504301	Benign	4.87215
XLOC_000330	XLOC_000330	RP5-979D14.1	1:23345940-23504301	Benign	0
XLOC_000331	XLOC_000331	U6	1:23345940-23504301	Benign	0
XLOC_000332	XLOC_000332	U6	1:23345940-23504301	Benign	0.274959
XLOC_000333	XLOC_000333	RP5-1057J7.1	1:23571257-23571717	Benign	2.1757
XLOC_000334	XLOC_000334	C1orf213	1:23685940-23698332	Benign	0.875189
XLOC_000335	XLOC_000335	RP4-654C18.1	1:23707553-23810750	Benign	0
XLOC_000336	XLOC_000336	MDS2	1:23907984-23967058	Benign	0
XLOC_000337	XLOC_000337	RP11-223J15.2	1:23996783-24006749	Benign	0
XLOC_000338	XLOC_000338	RPL11	1:24018268-24022915	Benign	53.4703
